Category,n,MAE_rf,MAE_ridge
DATING,26,0.6462338568262709,0.6304146232902282
LIFESTYLE,55,0.5112955584251658,0.5213272596164633
HEALTH_AND_FITNESS,39,0.465881510780183,0.4696501133224983
MEDICAL,71,0.4624550320907861,0.46068473626127343
BUSINESS,58,0.4376472724059048,0.4460257223560323
SPORTS,56,0.3908050921535157,0.3933788194120277
TOOLS,145,0.389094301400134,0.40413147638431623
COMICS,10,0.3869846319355526,0.37255748478637296
NEWS_AND_MAGAZINES,38,0.3866908730009056,0.3799362986527357
FOOD_AND_DRINK,23,0.38551326799077307,0.40473753408697904
PARENTING,14,0.380928441763655,0.46432123221673766
MAPS_AND_NAVIGATION,18,0.3795967854012261,0.3862037707322204
FINANCE,68,0.35686019696002086,0.386758320872115
PRODUCTIVITY,57,0.3525108753079164,0.35748920767375647
BOOKS_AND_REFERENCE,31,0.33809219564898396,0.325302092922375
BEAUTY,6,0.327121986212127,0.21924277187834998
VIDEO_PLAYERS,31,0.3227983205957835,0.3520971321849788
FAMILY,338,0.3225615285048416,0.3276972565664017
TRAVEL_AND_LOCAL,37,0.31488194165153743,0.35787463738546116
AUTO_AND_VEHICLES,21,0.31397144284455536,0.2943592274251272
PHOTOGRAPHY,46,0.2947486658318449,0.3222862879015302
SOCIAL,27,0.28962137445417296,0.2957875150699525
ART_AND_DESIGN,10,0.27932733095683715,0.27077210012602
COMMUNICATION,48,0.26324391579295703,0.2715637605083364
ENTERTAINMENT,13,0.2618846300271222,0.2583365666081242
WEATHER,17,0.2482885234563303,0.22394525450577682
GAME,166,0.2396481938715035,0.23788686477359017
LIBRARIES_AND_DEMO,15,0.23831657803086753,0.2243753876913187
EVENTS,10,0.22843785301434635,0.28055833307503136
HOUSE_AND_HOME,22,0.22792389945865799,0.276200676177127
PERSONALIZATION,54,0.22311192325423665,0.23497809653980012
SHOPPING,39,0.2167340244031629,0.20563340834620364
EDUCATION,31,0.18180814962178068,0.14326907588730237
