feature,f_score,p_value
num__log_reviews,225.8672309528809,3.2375013538834052e-50
num__days_since_update,95.15402022740145,2.497557430372127e-22
cat__Category_TOOLS,50.546864756386945,1.286888191685954e-12
num__log_installs,46.579468330418514,9.586652100659032e-12
cat__Category_PERSONALIZATION,20.114071462327903,7.420183082044015e-06
num__is_paid,18.862475268090613,1.4260621162215349e-05
num__Size_MB,16.143138369115402,5.938822101865518e-05
cat__Category_BOOKS_AND_REFERENCE,15.938502719459988,6.61487515041663e-05
cat__Category_GAME,14.753440221980622,0.00012367970418295415
cat__Category_EVENTS,11.60973870168125,0.0006600207717928413
cat__Category_DATING,10.42593887859328,0.0012486999989223197
cat__Category_MAPS_AND_NAVIGATION,8.857335074293143,0.002929796835369064
cat__Category_ART_AND_DESIGN,7.357845419817671,0.006694508257579115
cat__Content Rating_Teen,6.861088255225103,0.008829583538266881
cat__Category_VIDEO_PLAYERS,6.711810694165188,0.009598860189390398
cat__Category_EDUCATION,6.297008752082723,0.012118114509083159
cat__Category_TRAVEL_AND_LOCAL,6.008241869786424,0.014265139468374509
cat__Content Rating_Everyone,5.694439841841435,0.017046953704898567
cat__Category_PARENTING,5.443990885860176,0.019665846601824556
cat__Category_HEALTH_AND_FITNESS,5.239326630562484,0.022113481270235588
num__Price_USD,5.132954334606854,0.023508223460270424
cat__Category_LIFESTYLE,3.8908885920325895,0.048590698562063925
cat__Category_SPORTS,3.1357876329299863,0.0766378538335895
cat__Category_FINANCE,3.0561721065890524,0.08047776399748906
cat__Content Rating_Everyone 10+,2.94583157766404,0.08614662761824156
cat__Category_COMMUNICATION,2.9018434690450072,0.08852572081694436
cat__Category_NEWS_AND_MAGAZINES,2.536550757840859,0.11128577458195277
cat__Category_BUSINESS,2.330395390256179,0.1269179024556373
cat__Category_HOUSE_AND_HOME,1.7281070418068751,0.18869882554506034
cat__Category_SOCIAL,1.6408116962625368,0.200259460231032
cat__Content Rating_Mature 17+,1.1018840638750833,0.2938917071314209
cat__Category_BEAUTY,0.7416030018698073,0.38917936621455873
cat__Category_FAMILY,0.7404931041146766,0.389534442235154
cat__Category_MEDICAL,0.6340980774075731,0.42588492661910193
cat__Category_PHOTOGRAPHY,0.615464811686118,0.43276595403054635
cat__Category_SHOPPING,0.5206294040866017,0.4705990587826926
cat__Category_COMICS,0.3753238909936121,0.5401377524310206
cat__Category_WEATHER,0.35612454063198057,0.5506870968559959
cat__Category_AUTO_AND_VEHICLES,0.3074178642709403,0.5792879447715159
cat__Category_PRODUCTIVITY,0.23252534203291192,0.6296737177232339
cat__Content Rating_Adults only 18+,0.16826109255980826,0.6816752839849416
cat__Category_ENTERTAINMENT,0.11444823868357407,0.7351464579327692
cat__Category_FOOD_AND_DRINK,0.09452919361416635,0.7585060758918591
cat__Category_LIBRARIES_AND_DEMO,0.035898682451157606,0.8497307433063046
cat__Content Rating_Unrated,0.018994818336937416,0.890385575307354
