component,explained_variance_ratio,cumulative_variance
1,0.3165837076651955,0.3165837076651955
2,0.16049717882697057,0.47708088649216607
3,0.13401427735179935,0.6110951638439654
4,0.12148422360773913,0.7325793874517046
5,0.0944922466795068,0.8270716341312114
6,0.03143230735358972,0.8585039414848011
7,0.022747677145811652,0.8812516186306127
8,0.01098398639222834,0.892235605022841
9,0.010009251553125554,0.9022448565759666
10,0.009482123278447038,0.9117269798544136
11,0.005913472578305984,0.9176404524327196
12,0.00570605187321319,0.9233465043059328
13,0.005092196715490353,0.9284387010214231
14,0.005068485476229748,0.9335071864976529
15,0.00487995429828436,0.9383871407959372
16,0.00472379976225288,0.9431109405581901
17,0.004459371498761724,0.9475703120569519
18,0.004402718632381583,0.9519730306893335
19,0.004298193756983894,0.9562712244463174
20,0.004264579814231069,0.9605358042605485
21,0.004193791286148896,0.9647295955466975
22,0.0035105392429717465,0.9682401347896692
23,0.0033769149389153985,0.9716170497285845
24,0.0031486632952387786,0.9747657130238233
25,0.0030154843773624006,0.9777811974011857
26,0.0029067045482540615,0.9806879019494398
27,0.0025280419835998023,0.9832159439330396
28,0.002162182903736622,0.9853781268367762
29,0.001707683871427364,0.9870858107082036
30,0.0015245311889968667,0.9886103418972004
31,0.0015026969862029912,0.9901130388834034
32,0.001370114773975359,0.9914831536573787
33,0.0011950788155169695,0.9926782324728957
34,0.0011046443050324237,0.9937828767779281
35,0.001054296273399756,0.9948371730513278
36,0.0010253610940262482,0.9958625341453541
37,0.0009331991291922383,0.9967957332745463
38,0.00083494167007919,0.9976306749446254
39,0.0007755019370340487,0.9984061768816594
40,0.0007556465449966647,0.9991618234266562
41,0.0007362147492838152,0.99989803817594
42,7.742738988039659e-05,0.9999754655658204
43,2.4534434179554024e-05,1.0
44,0.0,1.0
45,0.0,1.0
