feature,importance
num__log_reviews,0.2741496728571113
num__days_since_update,0.18831080295783026
num__Size_MB,0.16381304816841985
num__log_installs,0.13024498197276393
num__Price_USD,0.025042582923600547
cat__Category_TOOLS,0.018754953086769183
cat__Category_FAMILY,0.015424888427940018
cat__Category_HEALTH_AND_FITNESS,0.012968876509072422
cat__Category_LIFESTYLE,0.01252261371571238
cat__Category_FINANCE,0.010484915110223881
cat__Category_MEDICAL,0.00991836632142141
cat__Content Rating_Everyone,0.00920687192181383
cat__Category_BUSINESS,0.008883857518745769
num__is_paid,0.007925053755769334
cat__Category_COMMUNICATION,0.007446785744640343
cat__Category_NEWS_AND_MAGAZINES,0.007018112716280232
cat__Category_PHOTOGRAPHY,0.0068658640095590265
cat__Category_PRODUCTIVITY,0.006771417870684807
cat__Content Rating_Teen,0.006563777758862301
cat__Category_GAME,0.006560783872002351
cat__Category_VIDEO_PLAYERS,0.006489925059806664
cat__Category_TRAVEL_AND_LOCAL,0.006401422386166685
cat__Category_PERSONALIZATION,0.006312267341248455
cat__Category_BOOKS_AND_REFERENCE,0.005592291548508811
cat__Category_DATING,0.005292657397289301
cat__Content Rating_Mature 17+,0.005115310610544086
cat__Category_MAPS_AND_NAVIGATION,0.005080941453455007
cat__Category_SPORTS,0.004658043839905304
cat__Category_SOCIAL,0.003792746190683692
cat__Content Rating_Everyone 10+,0.003611604019905957
cat__Category_SHOPPING,0.0030839577464747245
cat__Category_FOOD_AND_DRINK,0.002989864750144776
cat__Category_AUTO_AND_VEHICLES,0.0027553149041945205
cat__Category_PARENTING,0.001656259361540838
cat__Category_LIBRARIES_AND_DEMO,0.0012612855160922132
cat__Category_ART_AND_DESIGN,0.0012584282151991823
cat__Category_EVENTS,0.0012082437878340208
cat__Category_COMICS,0.0011625253980474736
cat__Category_ENTERTAINMENT,0.0010231511854154748
cat__Category_BEAUTY,0.0007880061177347361
cat__Category_EDUCATION,0.0007223380598491654
cat__Category_HOUSE_AND_HOME,0.0005007815553113866
cat__Category_WEATHER,0.00035753123637193723
cat__Content Rating_Adults only 18+,6.875099052558185e-06
cat__Content Rating_Unrated,0.0
