n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mean_cv_r2,std_cv_r2,rank
200,,10,2,0.5,0.15330397767859927,0.02631590751371495,1
200,20,10,2,0.5,0.15219124037997178,0.025828753343857546,2
200,20,2,2,0.5,0.1506692859204815,0.030762581232957772,3
150,15,10,1,0.5,0.14967765778235145,0.02573991344713539,4
200,20,5,2,sqrt,0.14914412442823669,0.024075143799351183,5
200,,2,4,log2,0.14645142120479682,0.02001436659734137,6
250,20,10,2,log2,0.14519417872428722,0.0225509502198373,7
150,,2,1,log2,0.14401692402576977,0.037039199425723056,8
150,,5,2,0.5,0.1430694179826483,0.024563440210315847,9
250,10,2,2,0.5,0.14112197319112205,0.026777181893938275,10
150,15,2,2,sqrt,0.14031149993456635,0.023274683903053536,11
100,15,10,2,log2,0.13413379400375375,0.019671914716795996,12
150,10,10,1,sqrt,0.11736946537592921,0.01833649779541811,13
150,5,5,4,0.5,0.11027682571773079,0.017118238586864953,14
200,5,2,2,0.5,0.11009664756707316,0.017772823069441952,15
250,5,2,1,0.5,0.10883674567902993,0.01717089581698376,16
150,5,2,1,0.5,0.1086899758462924,0.017154103515159995,17
150,5,5,1,0.5,0.10838744000458007,0.017604050954078337,18
200,5,5,1,sqrt,0.07620384322127483,0.006616315959170941,19
250,5,5,2,log2,0.07015828836043739,0.005314843765370335,20
