feature,coefficient
num__log_reviews,0.5831473389205438
num__log_installs,-0.5119492158355905
cat__Category_PARENTING,0.23675872951104013
cat__Category_EVENTS,0.22787503600856485
cat__Category_ART_AND_DESIGN,0.21847610622302074
cat__Category_BOOKS_AND_REFERENCE,0.17231100878377084
cat__Category_MAPS_AND_NAVIGATION,-0.1600781550561624
cat__Category_DATING,-0.15066471032257256
cat__Category_BEAUTY,0.13404142011036252
cat__Category_PERSONALIZATION,0.13004799252321714
cat__Category_TOOLS,-0.12922483850760244
cat__Category_COMMUNICATION,-0.11818350222972443
cat__Category_EDUCATION,0.11297797947644603
cat__Category_VIDEO_PLAYERS,-0.10408358927487985
cat__Category_NEWS_AND_MAGAZINES,-0.0940169573305855
cat__Category_TRAVEL_AND_LOCAL,-0.09189167010168528
cat__Category_FINANCE,-0.0913838209469714
cat__Category_HOUSE_AND_HOME,-0.0906761877666774
cat__Category_ENTERTAINMENT,-0.0841478083789414
cat__Category_PHOTOGRAPHY,-0.07162848443581078
cat__Category_LIBRARIES_AND_DEMO,0.059765264517179395
num__days_since_update,-0.0573691178886976
cat__Category_MEDICAL,0.051273666338224805
cat__Category_BUSINESS,-0.03600045843240321
cat__Category_LIFESTYLE,-0.03390779263049112
cat__Category_FOOD_AND_DRINK,-0.031871756947822495
cat__Content Rating_Unrated,0.027984193304709665
cat__Category_SOCIAL,-0.026830526053877788
cat__Content Rating_Everyone,0.025173305111958314
num__Size_MB,-0.024613789443499328
cat__Content Rating_Mature 17+,-0.0241913196076621
cat__Category_SHOPPING,-0.023665414539650556
num__Price_USD,-0.020771807865030866
cat__Category_WEATHER,-0.01760390533374838
cat__Category_HEALTH_AND_FITNESS,0.01706051505274235
cat__Category_SPORTS,-0.016108589200469987
cat__Content Rating_Everyone 10+,-0.013118749385305729
cat__Category_COMICS,0.012889473489130202
cat__Category_PRODUCTIVITY,-0.009914483775739526
cat__Category_FAMILY,0.009798564550953851
cat__Content Rating_Teen,-0.008442565765608898
cat__Content Rating_Adults only 18+,-0.007404863657807456
cat__Category_GAME,-0.00718547909652049
cat__Category_AUTO_AND_VEHICLES,0.0057923737777008395
num__is_paid,-0.0014344403440402884
